WO_ID,Equipment_ID,Equipment_Name,Equipment_Type,Maintenance_Type,Activity_Description,Start_DateTime,Finish_DateTime,Downtime_Hours,Status
WO-0116,EQ-005,Cooling Tower Fan,Fan,PM,Filter Replacement,2025-01-01 00:00,2025-01-01 01:12,1.2,Closed
WO-0023,EQ-004,Air Compressor Unit B,Compressor,CM,Motor Overheat,2025-01-02 00:00,2025-01-02 05:48,5.8,Closed
WO-0151,EQ-005,Cooling Tower Fan,Fan,PM,Cleaning & Tightening,2025-01-06 00:00,2025-01-06 02:54,2.9,Closed
WO-0071,EQ-009,Forklift Electric 01,Material Handling,CM,Belt Slippage,2025-01-07 00:00,2025-01-07 15:00,15.0,Closed
WO-0002,EQ-007,Chiller Unit 1,Chiller,CM,Seal Damage,2025-01-09 00:00,2025-01-09 01:18,1.3,Closed
WO-0034,EQ-010,Forklift Diesel 02,Material Handling,CM,Leakage,2025-01-11 00:00,2025-01-11 08:42,8.7,Closed
WO-0079,EQ-013,Genset Backup Power,Generator,CM,Bearing Failure,2025-01-11 00:00,2025-01-11 07:00,7.0,Closed
WO-0103,EQ-010,Forklift Diesel 02,Material Handling,CM,Belt Slippage,2025-01-11 00:00,2025-01-11 08:12,8.2,Closed
WO-0153,EQ-013,Genset Backup Power,Generator,PM,Cleaning & Tightening,2025-01-13 00:00,2025-01-13 02:48,2.8,Closed
WO-0026,EQ-008,Chiller Unit 2,Chiller,CM,Motor Overheat,2025-01-14 00:00,2025-01-14 04:48,4.8,Closed
WO-0010,EQ-014,Hydraulic Press 1,Press,CM,Hose Burst,2025-01-15 00:00,2025-01-15 00:36,0.6,Closed
WO-0014,EQ-010,Forklift Diesel 02,Material Handling,CM,Motor Overheat,2025-01-17 00:00,2025-01-17 01:48,1.8,Closed
WO-0093,EQ-014,Hydraulic Press 1,Press,CM,Hose Burst,2025-01-17 00:00,2025-01-17 00:48,0.8,Closed
WO-0053,EQ-007,Chiller Unit 1,Chiller,CM,Electrical Fault,2025-01-18 00:00,2025-01-18 03:48,3.8,Closed
WO-0074,EQ-011,Packing Machine Line 3,Packing Machine,CM,Bearing Failure,2025-01-18 00:00,2025-01-18 02:48,2.8,Closed
WO-0065,EQ-008,Chiller Unit 2,Chiller,CM,Belt Slippage,2025-01-20 00:00,2025-01-20 03:00,3.0,Closed
WO-0129,EQ-003,Air Compressor Unit A,Compressor,PM,Filter Replacement,2025-01-20 00:00,2025-01-20 01:42,1.7,Closed
WO-0094,EQ-005,Cooling Tower Fan,Fan,CM,Seal Damage,2025-01-22 00:00,2025-01-22 00:54,0.9,Closed
WO-0135,EQ-004,Air Compressor Unit B,Compressor,PM,Routine Lubrication,2025-01-24 00:00,2025-01-24 01:36,1.6,Closed
WO-0169,EQ-006,Boiler Feed Pump,Pump,PM,Routine Lubrication,2025-01-24 00:00,2025-01-24 02:30,2.5,Closed
WO-0158,EQ-011,Packing Machine Line 3,Packing Machine,PM,Cleaning & Tightening,2025-01-25 00:00,2025-01-25 02:48,2.8,Closed
WO-0096,EQ-012,Packing Machine Line 4,Packing Machine,CM,Leakage,2025-01-26 00:00,2025-01-26 01:12,1.2,Closed
WO-0105,EQ-011,Packing Machine Line 3,Packing Machine,CM,Seal Damage,2025-01-27 00:00,2025-01-27 22:24,22.4,Closed
WO-0061,EQ-015,Water Treatment Pump,Pump,CM,Bearing Failure,2025-01-28 00:00,2025-01-29 13:06,37.1,Closed
WO-0001,EQ-011,Packing Machine Line 3,Packing Machine,CM,Hose Burst,2025-01-29 00:00,2025-01-29 00:36,0.6,Closed
WO-0039,EQ-005,Cooling Tower Fan,Fan,CM,Sensor Malfunction,2025-01-30 00:00,2025-01-30 03:06,3.1,Closed
WO-0110,EQ-004,Air Compressor Unit B,Compressor,CM,Seal Damage,2025-01-30 00:00,2025-01-30 10:42,10.7,Closed
WO-0166,EQ-013,Genset Backup Power,Generator,PM,Routine Lubrication,2025-01-30 00:00,2025-01-30 01:42,1.7,Closed
WO-0020,EQ-013,Genset Backup Power,Generator,CM,Leakage,2025-02-02 00:00,2025-02-02 21:30,21.5,Closed
WO-0114,EQ-012,Packing Machine Line 4,Packing Machine,PM,Filter Replacement,2025-02-04 00:00,2025-02-04 02:42,2.7,Closed
WO-0013,EQ-004,Air Compressor Unit B,Compressor,CM,Overload Trip,2025-02-05 00:00,2025-02-05 00:48,0.8,Closed
WO-0177,EQ-002,Conveyor Belt Line 2,Conveyor,PM,Routine Lubrication,2025-02-05 00:00,2025-02-05 00:36,0.6,Closed
WO-0128,EQ-001,Conveyor Belt Line 1,Conveyor,PM,Cleaning & Tightening,2025-02-06 00:00,2025-02-06 01:30,1.5,Closed
WO-0118,EQ-008,Chiller Unit 2,Chiller,PM,Calibration Check,2025-02-08 00:00,2025-02-08 01:36,1.6,Closed
WO-0045,EQ-012,Packing Machine Line 4,Packing Machine,CM,Overload Trip,2025-02-09 00:00,2025-02-09 01:18,1.3,Closed
WO-0075,EQ-010,Forklift Diesel 02,Material Handling,CM,Electrical Fault,2025-02-09 00:00,2025-02-10 22:06,46.1,Closed
WO-0100,EQ-001,Conveyor Belt Line 1,Conveyor,CM,Motor Overheat,2025-02-12 00:00,2025-02-13 21:12,45.2,Closed
WO-0137,EQ-008,Chiller Unit 2,Chiller,PM,Routine Lubrication,2025-02-12 00:00,2025-02-12 02:12,2.2,Closed
WO-0164,EQ-014,Hydraulic Press 1,Press,PM,Calibration Check,2025-02-12 00:00,2025-02-12 01:06,1.1,Closed
WO-0009,EQ-011,Packing Machine Line 3,Packing Machine,CM,Sensor Malfunction,2025-02-13 00:00,2025-02-13 01:24,1.4,Closed
WO-0141,EQ-003,Air Compressor Unit A,Compressor,PM,Calibration Check,2025-02-14 00:00,2025-02-14 00:42,0.7,Closed
WO-0046,EQ-001,Conveyor Belt Line 1,Conveyor,CM,Electrical Fault,2025-02-15 00:00,2025-02-15 01:42,1.7,Closed
WO-0081,EQ-007,Chiller Unit 1,Chiller,CM,Vibration Abnormal,2025-02-15 00:00,2025-02-16 17:06,41.1,Closed
WO-0113,EQ-007,Chiller Unit 1,Chiller,PM,Belt Tension Adjustment,2025-02-18 00:00,2025-02-18 02:48,2.8,Closed
WO-0027,EQ-004,Air Compressor Unit B,Compressor,CM,Motor Overheat,2025-02-19 00:00,2025-02-19 02:06,2.1,Closed
WO-0017,EQ-010,Forklift Diesel 02,Material Handling,CM,Hose Burst,2025-02-20 00:00,2025-02-20 01:00,1.0,Closed
WO-0059,EQ-013,Genset Backup Power,Generator,CM,Vibration Abnormal,2025-02-20 00:00,2025-02-20 01:00,1.0,Closed
WO-0099,EQ-011,Packing Machine Line 3,Packing Machine,CM,Motor Overheat,2025-02-20 00:00,2025-02-20 02:24,2.4,Closed
WO-0162,EQ-003,Air Compressor Unit A,Compressor,PM,Belt Tension Adjustment,2025-02-21 00:00,2025-02-21 00:48,0.8,Closed
WO-0056,EQ-005,Cooling Tower Fan,Fan,CM,Leakage,2025-02-23 00:00,2025-02-24 04:42,28.7,Closed
WO-0084,EQ-008,Chiller Unit 2,Chiller,CM,Seal Damage,2025-02-24 00:00,2025-02-24 06:12,6.2,Closed
WO-0003,EQ-007,Chiller Unit 1,Chiller,CM,Overload Trip,2025-02-26 00:00,2025-02-26 01:30,1.5,Closed
WO-0167,EQ-003,Air Compressor Unit A,Compressor,PM,Cleaning & Tightening,2025-02-27 00:00,2025-02-27 02:42,2.7,Closed
WO-0007,EQ-011,Packing Machine Line 3,Packing Machine,CM,Electrical Fault,2025-02-28 00:00,2025-03-01 19:12,43.2,Closed
WO-0048,EQ-014,Hydraulic Press 1,Press,CM,Electrical Fault,2025-02-28 00:00,2025-02-28 01:18,1.3,Closed
WO-0090,EQ-005,Cooling Tower Fan,Fan,CM,Bearing Failure,2025-02-28 00:00,2025-02-28 01:48,1.8,Closed
WO-0066,EQ-003,Air Compressor Unit A,Compressor,CM,Seal Damage,2025-03-01 00:00,2025-03-01 05:42,5.7,Closed
WO-0143,EQ-003,Air Compressor Unit A,Compressor,PM,Filter Replacement,2025-03-01 00:00,2025-03-01 01:42,1.7,Closed
WO-0173,EQ-011,Packing Machine Line 3,Packing Machine,PM,Belt Tension Adjustment,2025-03-01 00:00,2025-03-01 01:42,1.7,Closed
WO-0024,EQ-009,Forklift Electric 01,Material Handling,CM,Leakage,2025-03-02 00:00,2025-03-03 14:00,38.0,Closed
WO-0019,EQ-001,Conveyor Belt Line 1,Conveyor,CM,Seal Damage,2025-03-03 00:00,2025-03-03 03:36,3.6,Closed
WO-0121,EQ-012,Packing Machine Line 4,Packing Machine,PM,Scheduled Inspection,2025-03-03 00:00,2025-03-03 01:54,1.9,Closed
WO-0112,EQ-008,Chiller Unit 2,Chiller,PM,Scheduled Inspection,2025-03-04 00:00,2025-03-04 01:36,1.6,Closed
WO-0012,EQ-003,Air Compressor Unit A,Compressor,CM,Sensor Malfunction,2025-03-05 00:00,2025-03-06 03:24,27.4,Closed
WO-0062,EQ-009,Forklift Electric 01,Material Handling,CM,Vibration Abnormal,2025-03-05 00:00,2025-03-05 05:06,5.1,Closed
WO-0064,EQ-005,Cooling Tower Fan,Fan,CM,Electrical Fault,2025-03-05 00:00,2025-03-05 01:30,1.5,Closed
WO-0156,EQ-010,Forklift Diesel 02,Material Handling,PM,Cleaning & Tightening,2025-03-06 00:00,2025-03-06 02:12,2.2,Closed
WO-0144,EQ-008,Chiller Unit 2,Chiller,PM,Calibration Check,2025-03-07 00:00,2025-03-07 02:12,2.2,Closed
WO-0050,EQ-015,Water Treatment Pump,Pump,CM,Sensor Malfunction,2025-03-08 00:00,2025-03-08 15:54,15.9,Closed
WO-0016,EQ-001,Conveyor Belt Line 1,Conveyor,CM,Seal Damage,2025-03-09 00:00,2025-03-09 08:06,8.1,Closed
WO-0030,EQ-007,Chiller Unit 1,Chiller,CM,Belt Slippage,2025-03-09 00:00,2025-03-10 13:06,37.1,Closed
WO-0108,EQ-004,Air Compressor Unit B,Compressor,CM,Bearing Failure,2025-03-10 00:00,2025-03-10 02:24,2.4,Closed
WO-0111,EQ-012,Packing Machine Line 4,Packing Machine,PM,Calibration Check,2025-03-11 00:00,2025-03-11 01:30,1.5,Closed
WO-0041,EQ-014,Hydraulic Press 1,Press,CM,Vibration Abnormal,2025-03-12 00:00,2025-03-12 01:42,1.7,Closed
WO-0152,EQ-007,Chiller Unit 1,Chiller,PM,Cleaning & Tightening,2025-03-12 00:00,2025-03-12 00:30,0.5,Closed
WO-0004,EQ-006,Boiler Feed Pump,Pump,CM,Sensor Malfunction,2025-03-13 00:00,2025-03-13 01:00,1.0,Closed
WO-0098,EQ-004,Air Compressor Unit B,Compressor,CM,Hose Burst,2025-03-15 00:00,2025-03-15 07:36,7.6,Closed
WO-0145,EQ-015,Water Treatment Pump,Pump,PM,Scheduled Inspection,2025-03-15 00:00,2025-03-15 02:12,2.2,Closed
WO-0154,EQ-008,Chiller Unit 2,Chiller,PM,Scheduled Inspection,2025-03-15 00:00,2025-03-15 02:24,2.4,Closed
WO-0091,EQ-009,Forklift Electric 01,Material Handling,CM,Hose Burst,2025-03-16 00:00,2025-03-16 02:54,2.9,Closed
WO-0006,EQ-009,Forklift Electric 01,Material Handling,CM,Bearing Failure,2025-03-17 00:00,2025-03-17 03:24,3.4,Closed
WO-0031,EQ-004,Air Compressor Unit B,Compressor,CM,Bearing Failure,2025-03-17 00:00,2025-03-17 09:54,9.9,Closed
WO-0161,EQ-015,Water Treatment Pump,Pump,PM,Calibration Check,2025-03-17 00:00,2025-03-17 01:18,1.3,Closed
WO-0165,EQ-013,Genset Backup Power,Generator,PM,Filter Replacement,2025-03-17 00:00,2025-03-17 02:24,2.4,Closed
WO-0054,EQ-009,Forklift Electric 01,Material Handling,CM,Overload Trip,2025-03-21 00:00,2025-03-21 01:36,1.6,Closed
WO-0159,EQ-001,Conveyor Belt Line 1,Conveyor,PM,Routine Lubrication,2025-03-21 00:00,2025-03-21 02:30,2.5,Closed
WO-0011,EQ-015,Water Treatment Pump,Pump,CM,Electrical Fault,2025-03-22 00:00,2025-03-22 02:12,2.2,Closed
WO-0035,EQ-011,Packing Machine Line 3,Packing Machine,CM,Motor Overheat,2025-03-22 00:00,2025-03-22 09:24,9.4,Closed
WO-0051,EQ-012,Packing Machine Line 4,Packing Machine,CM,Electrical Fault,2025-03-22 00:00,2025-03-22 03:54,3.9,Closed
WO-0132,EQ-007,Chiller Unit 1,Chiller,PM,Calibration Check,2025-03-23 00:00,2025-03-23 02:06,2.1,Closed
WO-0138,EQ-001,Conveyor Belt Line 1,Conveyor,PM,Filter Replacement,2025-03-25 00:00,2025-03-25 02:30,2.5,Closed
WO-0131,EQ-002,Conveyor Belt Line 2,Conveyor,PM,Belt Tension Adjustment,2025-03-26 00:00,2025-03-26 02:36,2.6,Closed
WO-0119,EQ-006,Boiler Feed Pump,Pump,PM,Belt Tension Adjustment,2025-03-27 00:00,2025-03-27 01:54,1.9,Closed
WO-0070,EQ-007,Chiller Unit 1,Chiller,CM,Hose Burst,2025-03-28 00:00,2025-03-28 03:18,3.3,Closed
WO-0005,EQ-014,Hydraulic Press 1,Press,CM,Motor Overheat,2025-03-30 00:00,2025-03-31 07:18,31.3,Closed
WO-0037,EQ-015,Water Treatment Pump,Pump,CM,Hose Burst,2025-03-31 00:00,2025-03-31 07:00,7.0,Closed
WO-0155,EQ-010,Forklift Diesel 02,Material Handling,PM,Scheduled Inspection,2025-04-01 00:00,2025-04-01 01:00,1.0,Closed
WO-0150,EQ-010,Forklift Diesel 02,Material Handling,PM,Cleaning & Tightening,2025-04-02 00:00,2025-04-02 01:54,1.9,Closed
WO-0160,EQ-010,Forklift Diesel 02,Material Handling,PM,Routine Lubrication,2025-04-04 00:00,2025-04-04 02:18,2.3,Closed
WO-0163,EQ-015,Water Treatment Pump,Pump,PM,Filter Replacement,2025-04-04 00:00,2025-04-04 01:48,1.8,Closed
WO-0043,EQ-014,Hydraulic Press 1,Press,CM,Sensor Malfunction,2025-04-05 00:00,2025-04-05 02:30,2.5,Closed
WO-0076,EQ-013,Genset Backup Power,Generator,CM,Electrical Fault,2025-04-05 00:00,2025-04-05 02:36,2.6,Closed
WO-0139,EQ-006,Boiler Feed Pump,Pump,PM,Scheduled Inspection,2025-04-06 00:00,2025-04-06 01:36,1.6,Closed
WO-0055,EQ-011,Packing Machine Line 3,Packing Machine,CM,Electrical Fault,2025-04-08 00:00,2025-04-08 02:54,2.9,Closed
WO-0168,EQ-011,Packing Machine Line 3,Packing Machine,PM,Belt Tension Adjustment,2025-04-12 00:00,2025-04-12 02:54,2.9,Closed
WO-0029,EQ-003,Air Compressor Unit A,Compressor,CM,Bearing Failure,2025-04-15 00:00,2025-04-15 14:06,14.1,Closed
WO-0107,EQ-008,Chiller Unit 2,Chiller,CM,Bearing Failure,2025-04-16 00:00,2025-04-17 05:54,29.9,Closed
WO-0122,EQ-014,Hydraulic Press 1,Press,PM,Cleaning & Tightening,2025-04-16 00:00,2025-04-16 00:36,0.6,Closed
WO-0140,EQ-009,Forklift Electric 01,Material Handling,PM,Scheduled Inspection,2025-04-16 00:00,2025-04-16 01:54,1.9,Closed
WO-0067,EQ-008,Chiller Unit 2,Chiller,CM,Hose Burst,2025-04-17 00:00,2025-04-17 00:42,0.7,Closed
WO-0115,EQ-013,Genset Backup Power,Generator,PM,Belt Tension Adjustment,2025-04-17 00:00,2025-04-17 01:18,1.3,Closed
WO-0073,EQ-005,Cooling Tower Fan,Fan,CM,Leakage,2025-04-18 00:00,2025-04-18 04:12,4.2,Closed
WO-0080,EQ-014,Hydraulic Press 1,Press,CM,Belt Slippage,2025-04-18 00:00,2025-04-19 10:54,34.9,Closed
WO-0102,EQ-015,Water Treatment Pump,Pump,CM,Electrical Fault,2025-04-21 00:00,2025-04-21 03:06,3.1,Closed
WO-0052,EQ-001,Conveyor Belt Line 1,Conveyor,CM,Sensor Malfunction,2025-04-22 00:00,2025-04-22 03:42,3.7,Closed
WO-0104,EQ-010,Forklift Diesel 02,Material Handling,CM,Sensor Malfunction,2025-04-22 00:00,2025-04-22 04:42,4.7,Closed
WO-0127,EQ-014,Hydraulic Press 1,Press,PM,Calibration Check,2025-04-23 00:00,2025-04-23 00:42,0.7,Closed
WO-0146,EQ-002,Conveyor Belt Line 2,Conveyor,PM,Belt Tension Adjustment,2025-04-24 00:00,2025-04-24 02:54,2.9,Closed
WO-0095,EQ-007,Chiller Unit 1,Chiller,CM,Hose Burst,2025-04-26 00:00,2025-04-26 03:42,3.7,Closed
WO-0088,EQ-012,Packing Machine Line 4,Packing Machine,CM,Seal Damage,2025-04-27 00:00,2025-04-27 01:24,1.4,Closed
WO-0106,EQ-001,Conveyor Belt Line 1,Conveyor,CM,Seal Damage,2025-04-27 00:00,2025-04-27 00:48,0.8,Closed
WO-0120,EQ-007,Chiller Unit 1,Chiller,PM,Scheduled Inspection,2025-04-27 00:00,2025-04-27 02:48,2.8,Closed
WO-0148,EQ-005,Cooling Tower Fan,Fan,PM,Scheduled Inspection,2025-04-27 00:00,2025-04-27 02:36,2.6,Closed
WO-0036,EQ-001,Conveyor Belt Line 1,Conveyor,CM,Belt Slippage,2025-04-28 00:00,2025-04-28 04:48,4.8,Closed
WO-0072,EQ-014,Hydraulic Press 1,Press,CM,Overload Trip,2025-04-29 00:00,2025-04-29 06:36,6.6,Closed
WO-0083,EQ-013,Genset Backup Power,Generator,CM,Belt Slippage,2025-04-29 00:00,2025-04-29 06:42,6.7,Closed
WO-0092,EQ-005,Cooling Tower Fan,Fan,CM,Motor Overheat,2025-05-01 00:00,2025-05-01 21:06,21.1,Closed
WO-0025,EQ-013,Genset Backup Power,Generator,CM,Overload Trip,2025-05-02 00:00,2025-05-03 03:30,27.5,Closed
WO-0057,EQ-009,Forklift Electric 01,Material Handling,CM,Seal Damage,2025-05-02 00:00,2025-05-02 09:54,9.9,Closed
WO-0068,EQ-007,Chiller Unit 1,Chiller,CM,Seal Damage,2025-05-03 00:00,2025-05-04 18:42,42.7,Closed
WO-0149,EQ-007,Chiller Unit 1,Chiller,PM,Calibration Check,2025-05-04 00:00,2025-05-04 00:48,0.8,Closed
WO-0018,EQ-006,Boiler Feed Pump,Pump,CM,Leakage,2025-05-06 00:00,2025-05-06 11:00,11.0,Closed
WO-0086,EQ-011,Packing Machine Line 3,Packing Machine,CM,Electrical Fault,2025-05-06 00:00,2025-05-06 00:36,0.6,Closed
WO-0125,EQ-003,Air Compressor Unit A,Compressor,PM,Scheduled Inspection,2025-05-07 00:00,2025-05-07 02:54,2.9,Closed
WO-0178,EQ-005,Cooling Tower Fan,Fan,PM,Scheduled Inspection,2025-05-07 00:00,2025-05-07 00:48,0.8,Closed
WO-0063,EQ-010,Forklift Diesel 02,Material Handling,CM,Vibration Abnormal,2025-05-10 00:00,2025-05-10 17:42,17.7,Closed
WO-0022,EQ-015,Water Treatment Pump,Pump,CM,Hose Burst,2025-05-13 00:00,2025-05-13 01:24,1.4,Closed
WO-0085,EQ-001,Conveyor Belt Line 1,Conveyor,CM,Vibration Abnormal,2025-05-13 00:00,2025-05-13 00:48,0.8,Closed
WO-0015,EQ-011,Packing Machine Line 3,Packing Machine,CM,Vibration Abnormal,2025-05-18 00:00,2025-05-18 03:12,3.2,Closed
WO-0170,EQ-005,Cooling Tower Fan,Fan,PM,Filter Replacement,2025-05-18 00:00,2025-05-18 00:48,0.8,Closed
WO-0179,EQ-015,Water Treatment Pump,Pump,PM,Calibration Check,2025-05-18 00:00,2025-05-18 00:48,0.8,Closed
WO-0021,EQ-015,Water Treatment Pump,Pump,CM,Vibration Abnormal,2025-05-19 00:00,2025-05-19 09:42,9.7,Closed
WO-0133,EQ-014,Hydraulic Press 1,Press,PM,Routine Lubrication,2025-05-19 00:00,2025-05-19 00:36,0.6,Closed
WO-0069,EQ-012,Packing Machine Line 4,Packing Machine,CM,Bearing Failure,2025-05-20 00:00,2025-05-20 21:48,21.8,Closed
WO-0028,EQ-008,Chiller Unit 2,Chiller,CM,Leakage,2025-05-21 00:00,2025-05-21 00:48,0.8,Closed
WO-0097,EQ-003,Air Compressor Unit A,Compressor,CM,Bearing Failure,2025-05-22 00:00,2025-05-22 07:36,7.6,Closed
WO-0174,EQ-015,Water Treatment Pump,Pump,PM,Belt Tension Adjustment,2025-05-24 00:00,2025-05-24 01:18,1.3,Closed
WO-0077,EQ-002,Conveyor Belt Line 2,Conveyor,CM,Leakage,2025-05-29 00:00,2025-05-30 22:30,46.5,Closed
WO-0087,EQ-011,Packing Machine Line 3,Packing Machine,CM,Sensor Malfunction,2025-05-29 00:00,2025-05-29 06:48,6.8,Closed
WO-0032,EQ-001,Conveyor Belt Line 1,Conveyor,CM,Belt Slippage,2025-05-30 00:00,2025-05-30 02:12,2.2,Closed
WO-0117,EQ-014,Hydraulic Press 1,Press,PM,Cleaning & Tightening,2025-05-31 00:00,2025-05-31 01:54,1.9,Closed
WO-0078,EQ-002,Conveyor Belt Line 2,Conveyor,CM,Hose Burst,2025-06-01 00:00,2025-06-01 02:54,2.9,Closed
WO-0082,EQ-007,Chiller Unit 1,Chiller,CM,Leakage,2025-06-01 00:00,2025-06-01 15:06,15.1,Closed
WO-0126,EQ-009,Forklift Electric 01,Material Handling,PM,Routine Lubrication,2025-06-01 00:00,2025-06-01 01:18,1.3,Closed
WO-0033,EQ-002,Conveyor Belt Line 2,Conveyor,CM,Hose Burst,2025-06-02 00:00,2025-06-02 03:30,3.5,Closed
WO-0109,EQ-011,Packing Machine Line 3,Packing Machine,CM,Motor Overheat,2025-06-05 00:00,2025-06-05 12:30,12.5,Closed
WO-0130,EQ-006,Boiler Feed Pump,Pump,PM,Cleaning & Tightening,2025-06-09 00:00,2025-06-09 02:12,2.2,Closed
WO-0060,EQ-007,Chiller Unit 1,Chiller,CM,Bearing Failure,2025-06-11 00:00,2025-06-11 03:00,3.0,Closed
WO-0134,EQ-004,Air Compressor Unit B,Compressor,PM,Filter Replacement,2025-06-11 00:00,2025-06-11 02:12,2.2,Closed
WO-0008,EQ-008,Chiller Unit 2,Chiller,CM,Hose Burst,2025-06-12 00:00,2025-06-12 03:24,3.4,Closed
WO-0058,EQ-011,Packing Machine Line 3,Packing Machine,CM,Leakage,2025-06-12 00:00,2025-06-12 11:36,11.6,Closed
WO-0136,EQ-013,Genset Backup Power,Generator,PM,Routine Lubrication,2025-06-12 00:00,2025-06-12 02:18,2.3,Closed
WO-0147,EQ-005,Cooling Tower Fan,Fan,PM,Cleaning & Tightening,2025-06-13 00:00,2025-06-13 02:54,2.9,Closed
WO-0172,EQ-014,Hydraulic Press 1,Press,PM,Routine Lubrication,2025-06-13 00:00,2025-06-13 02:54,2.9,Closed
WO-0049,EQ-006,Boiler Feed Pump,Pump,CM,Motor Overheat,2025-06-14 00:00,2025-06-14 02:18,2.3,Closed
WO-0175,EQ-004,Air Compressor Unit B,Compressor,PM,Calibration Check,2025-06-15 00:00,2025-06-15 00:42,0.7,Closed
WO-0038,EQ-013,Genset Backup Power,Generator,CM,Belt Slippage,2025-06-17 00:00,2025-06-17 02:24,2.4,Closed
WO-0157,EQ-013,Genset Backup Power,Generator,PM,Scheduled Inspection,2025-06-18 00:00,2025-06-18 02:12,2.2,Closed
WO-0124,EQ-007,Chiller Unit 1,Chiller,PM,Cleaning & Tightening,2025-06-19 00:00,2025-06-19 02:30,2.5,Closed
WO-0180,EQ-006,Boiler Feed Pump,Pump,PM,Cleaning & Tightening,2025-06-21 00:00,2025-06-21 02:54,2.9,Closed
WO-0171,EQ-011,Packing Machine Line 3,Packing Machine,PM,Calibration Check,2025-06-22 00:00,2025-06-22 01:12,1.2,Closed
WO-0044,EQ-004,Air Compressor Unit B,Compressor,CM,Hose Burst,2025-06-24 00:00,2025-06-25 19:48,43.8,Closed
WO-0142,EQ-010,Forklift Diesel 02,Material Handling,PM,Belt Tension Adjustment,2025-06-24 00:00,2025-06-24 01:06,1.1,Closed
WO-0040,EQ-004,Air Compressor Unit B,Compressor,CM,Motor Overheat,2025-06-25 00:00,,,Open
WO-0089,EQ-013,Genset Backup Power,Generator,CM,Motor Overheat,2025-06-26 00:00,2025-06-26 07:54,7.9,Closed
WO-0101,EQ-008,Chiller Unit 2,Chiller,CM,Motor Overheat,2025-06-26 00:00,2025-06-27 07:24,31.4,Closed
WO-0047,EQ-003,Air Compressor Unit A,Compressor,CM,Sensor Malfunction,2025-06-29 00:00,,,Open
WO-0176,EQ-015,Water Treatment Pump,Pump,PM,Calibration Check,2025-06-29 00:00,2025-06-29 01:18,1.3,Closed
WO-0042,EQ-009,Forklift Electric 01,Material Handling,CM,Seal Damage,2025-06-30 00:00,2025-06-30 00:30,0.5,Closed
WO-0123,EQ-008,Chiller Unit 2,Chiller,PM,Calibration Check,2025-06-30 00:00,2025-06-30 02:48,2.8,Closed
